mean_fit_time,std_fit_time,mean_score_time,std_score_time,C,class_weight,max_iter,penalty,mean_test_score,std_test_score
0.598,0.082,0.013,0.001,5.468,,5125,,0.35,0.053
0.585,0.1,0.013,0.001,2.42,,6918,,0.35,0.053
0.605,0.058,0.014,0.001,0.0,,9540,,0.35,0.053
0.607,0.093,0.014,0.001,0.002,,9341,,0.35,0.053
0.681,0.082,0.019,0.007,1.82,,6388,,0.35,0.053
0.633,0.062,0.015,0.001,0.002,,6369,,0.35,0.053
0.646,0.063,0.014,0.001,59.472,,6112,,0.35,0.053
0.605,0.096,0.013,0.001,0.002,,7720,,0.35,0.053
0.646,0.06,0.014,0.001,0.083,,6617,,0.35,0.053
0.642,0.055,0.014,0.001,0.003,,7972,,0.35,0.053
0.645,0.026,0.014,0.002,5.087,,6030,,0.35,0.053
0.629,0.06,0.013,0.001,1.185,,8760,,0.35,0.053
0.597,0.08,0.013,0.001,0.272,,8481,,0.35,0.053
0.599,0.108,0.015,0.002,0.004,,7766,,0.35,0.053
0.558,0.061,0.013,0.001,0.161,,5275,,0.35,0.053
0.623,0.11,0.014,0.001,1.605,,9623,,0.35,0.053
0.621,0.06,0.013,0.001,0.649,,9703,,0.35,0.053
0.644,0.056,0.014,0.001,0.004,,5939,,0.35,0.053
0.629,0.053,0.014,0.001,2.945,,7881,,0.35,0.053
0.646,0.056,0.013,0.001,9.275,,6355,,0.35,0.053
0.592,0.07,0.013,0.001,0.544,,6003,,0.35,0.053
0.64,0.061,0.013,0.001,0.453,,5966,,0.35,0.053
0.608,0.111,0.014,0.001,10.787,,8337,,0.35,0.053
0.571,0.065,0.013,0.001,0.015,,7035,,0.35,0.053
0.588,0.076,0.014,0.002,37.532,,9658,,0.35,0.053
0.653,0.065,0.013,0.001,15.539,,7296,,0.35,0.053
0.615,0.075,0.014,0.002,0.382,,5356,,0.35,0.053
0.602,0.072,0.014,0.001,33.632,,7883,,0.35,0.053
0.575,0.058,0.013,0.001,0.005,,5082,,0.35,0.053
0.623,0.079,0.014,0.001,16.225,,8433,,0.35,0.053
0.64,0.056,0.013,0.001,0.324,,8834,,0.35,0.053
0.647,0.055,0.013,0.001,0.029,,8241,,0.35,0.053
0.645,0.062,0.014,0.001,6.255,,7800,,0.35,0.053
0.653,0.063,0.014,0.001,4.139,,8447,,0.35,0.053
0.629,0.105,0.013,0.0,9.074,,7864,,0.35,0.053
0.654,0.066,0.014,0.001,13.482,,9241,,0.35,0.053
0.645,0.058,0.014,0.001,0.0,,9257,,0.35,0.053
0.604,0.094,0.014,0.002,0.004,,9349,,0.35,0.053
0.633,0.067,0.014,0.001,10.91,,6640,,0.35,0.053
0.622,0.106,0.014,0.001,33.477,,6937,,0.35,0.053
0.596,0.065,0.014,0.001,6.961,,8975,,0.35,0.053
0.655,0.057,0.013,0.001,0.033,,8294,,0.35,0.053
0.612,0.075,0.014,0.001,0.001,,5179,,0.35,0.053
0.66,0.076,0.014,0.001,17.343,,7241,,0.35,0.053
0.615,0.061,0.014,0.001,0.009,,7622,,0.35,0.053
0.646,0.063,0.014,0.001,0.001,,9849,,0.35,0.053
0.656,0.063,0.013,0.001,0.001,,6088,,0.35,0.053
0.589,0.061,0.013,0.001,0.897,,5257,,0.35,0.053
0.649,0.059,0.014,0.002,0.847,,8116,,0.35,0.053
0.643,0.06,0.014,0.001,0.035,,8767,,0.35,0.053
0.648,0.064,0.014,0.001,0.367,,8049,,0.35,0.053
0.606,0.09,0.014,0.001,0.096,,6158,,0.35,0.053
0.624,0.11,0.013,0.001,1.848,,8781,,0.35,0.053
0.636,0.064,0.013,0.001,0.003,,5490,,0.35,0.053
0.601,0.075,0.014,0.002,0.033,,9896,,0.35,0.053
0.632,0.059,0.013,0.001,0.124,,6729,,0.35,0.053
0.606,0.074,0.013,0.001,0.007,,5316,,0.35,0.053
0.621,0.068,0.014,0.001,0.001,,6075,,0.35,0.053
0.647,0.065,0.014,0.001,15.375,,8929,,0.35,0.053
0.565,0.064,0.014,0.001,0.044,,5842,,0.35,0.053
0.609,0.061,0.014,0.001,0.564,,7025,,0.35,0.053
0.622,0.116,0.014,0.001,0.001,,8490,,0.35,0.053
0.598,0.061,0.014,0.002,0.138,,9769,,0.35,0.053
0.649,0.066,0.014,0.001,0.001,,6055,,0.35,0.053
0.689,0.03,0.014,0.001,0.001,,6982,,0.35,0.053
0.598,0.048,0.014,0.002,0.0,,5881,,0.35,0.053
0.605,0.071,0.013,0.001,0.0,,5981,,0.35,0.053
0.625,0.06,0.013,0.001,0.007,,6669,,0.35,0.053
0.649,0.056,0.014,0.001,0.002,,5275,,0.35,0.053
0.614,0.087,0.014,0.002,75.602,,6286,,0.35,0.053
0.612,0.084,0.013,0.001,2.194,,6759,,0.35,0.053
0.612,0.061,0.013,0.001,4.834,,5767,,0.35,0.053
0.591,0.08,0.014,0.001,48.213,,9070,,0.35,0.053
0.656,0.059,0.014,0.001,2.628,,6407,,0.35,0.053
0.66,0.066,0.014,0.001,0.1,,8648,,0.35,0.053
0.624,0.082,0.013,0.001,2.664,,6160,,0.35,0.053
0.611,0.113,0.014,0.001,2.706,,8997,,0.35,0.053
0.609,0.073,0.014,0.001,0.282,,5047,,0.35,0.053
0.665,0.093,0.015,0.002,0.045,,5217,,0.35,0.053
0.716,0.112,0.014,0.001,14.038,,5197,,0.35,0.053
0.674,0.081,0.014,0.001,0.016,,8934,,0.35,0.053
0.694,0.071,0.016,0.005,0.0,,6821,,0.35,0.053
0.612,0.053,0.014,0.001,2.157,,8918,,0.35,0.053
0.673,0.061,0.014,0.002,0.002,,7674,,0.35,0.053
0.622,0.062,0.014,0.001,0.018,,7602,,0.35,0.053
0.64,0.057,0.014,0.002,0.003,,7426,,0.35,0.053
0.652,0.099,0.014,0.001,8.015,,9675,,0.35,0.053
0.601,0.076,0.014,0.001,0.001,,7484,,0.35,0.053
0.64,0.058,0.014,0.001,0.022,,9294,,0.35,0.053
0.603,0.083,0.013,0.002,0.0,,5412,,0.35,0.053
0.612,0.06,0.013,0.001,0.0,,5546,,0.35,0.053
0.648,0.061,0.013,0.001,0.647,,5752,,0.35,0.053
0.572,0.049,0.013,0.002,1.253,,9539,,0.35,0.053
0.645,0.058,0.014,0.002,0.498,,8883,,0.35,0.053
0.592,0.067,0.013,0.001,0.001,,9494,,0.35,0.053
0.656,0.059,0.015,0.001,0.002,,9307,,0.35,0.053
0.64,0.056,0.013,0.001,1.336,,8109,,0.35,0.053
0.618,0.082,0.014,0.001,5.391,,8139,,0.35,0.053
0.725,0.071,0.014,0.001,3.211,,6833,,0.35,0.053
0.64,0.056,0.014,0.001,0.002,,9750,,0.35,0.053
0.604,0.076,0.013,0.0,0.365,,8168,,0.35,0.053
0.631,0.06,0.014,0.001,0.152,,5604,,0.35,0.053
0.627,0.05,0.013,0.001,0.001,,7810,,0.35,0.053
0.599,0.065,0.013,0.001,0.001,,7170,,0.35,0.053
0.647,0.057,0.014,0.001,0.007,,8416,,0.35,0.053
0.608,0.075,0.014,0.001,0.973,,7902,,0.35,0.053
0.594,0.078,0.013,0.002,0.006,,5494,,0.35,0.053
0.678,0.062,0.014,0.001,1.253,,9197,,0.35,0.053
0.604,0.107,0.013,0.001,0.002,,7312,,0.35,0.053
0.638,0.059,0.013,0.001,0.0,,9520,,0.35,0.053
0.615,0.08,0.015,0.001,0.023,,5373,,0.35,0.053
0.69,0.095,0.014,0.002,0.001,,5813,,0.35,0.053
0.629,0.056,0.013,0.001,0.104,,6287,,0.35,0.053
0.612,0.092,0.014,0.002,0.503,,5772,,0.35,0.053
0.596,0.078,0.014,0.001,0.73,,6111,,0.35,0.053
0.61,0.063,0.014,0.002,0.032,,7374,,0.35,0.053
0.64,0.06,0.014,0.001,0.133,,5633,,0.35,0.053
0.601,0.059,0.014,0.001,0.001,,5838,,0.35,0.053
0.605,0.073,0.013,0.001,0.0,,7715,,0.35,0.053
0.615,0.098,0.015,0.002,5.592,,5481,,0.35,0.053
0.63,0.055,0.014,0.001,0.001,,6130,,0.35,0.053
0.725,0.121,0.014,0.001,1.304,,9911,,0.35,0.053
0.615,0.086,0.014,0.001,0.018,,9604,,0.35,0.053
0.619,0.055,0.013,0.001,56.681,,7571,,0.35,0.053
0.603,0.066,0.013,0.001,5.72,,8032,,0.35,0.053
0.613,0.098,0.014,0.001,0.123,,8495,,0.35,0.053
0.62,0.073,0.013,0.0,0.241,,7629,,0.35,0.053
0.607,0.054,0.018,0.001,0.002,,9874,,0.35,0.053
0.649,0.065,0.014,0.001,0.623,,5791,,0.35,0.053
0.664,0.105,0.013,0.001,0.93,,7731,,0.35,0.053
0.602,0.085,0.014,0.001,0.066,,5328,,0.35,0.053
0.616,0.071,0.018,0.001,0.023,,7681,,0.35,0.053
0.589,0.055,0.014,0.001,4.233,,8206,,0.35,0.053
0.66,0.069,0.014,0.001,0.004,,5031,,0.35,0.053
0.574,0.052,0.014,0.001,24.58,,5949,l2,0.35,0.053
0.534,0.039,0.015,0.002,7.783,,5812,l2,0.35,0.052
0.575,0.029,0.013,0.001,23.275,,9864,l2,0.35,0.052
0.532,0.074,0.014,0.002,17.546,,7572,l2,0.349,0.053
0.541,0.066,0.014,0.001,21.97,,9702,l2,0.349,0.052
